Epoch 1, Training Loss: 0.9552, Validation Loss: 0.9717
Epoch 2, Training Loss: 0.7994, Validation Loss: 0.6893
Epoch 3, Training Loss: 0.6005, Validation Loss: 0.5346
Epoch 4, Training Loss: 0.4758, Validation Loss: 0.4004
Epoch 5, Training Loss: 0.3368, Validation Loss: 0.3045
Epoch 6, Training Loss: 0.2167, Validation Loss: 0.1636
Epoch 7, Training Loss: 0.1425, Validation Loss: 0.0901
Epoch 8, Training Loss: 0.1062, Validation Loss: 0.0853
Epoch 9, Training Loss: 0.0634, Validation Loss: 0.0397
Epoch 10, Training Loss: 0.0398, Validation Loss: 0.0453
Epoch 11, Training Loss: 0.0309, Validation Loss: 0.0183
Epoch 12, Training Loss: 0.0245, Validation Loss: 0.0096
Epoch 13, Training Loss: 0.0185, Validation Loss: 0.0082
Epoch 14, Training Loss: 0.0133, Validation Loss: 0.0055
Epoch 15, Training Loss: 0.0114, Validation Loss: 0.0081
Epoch 16, Training Loss: 0.0109, Validation Loss: 0.0070
Epoch 17, Training Loss: 0.0096, Validation Loss: 0.0109
Epoch 18, Training Loss: 0.0093, Validation Loss: 0.0071
Epoch 19, Training Loss: 0.0084, Validation Loss: 0.0068
Epoch 20, Training Loss: 0.0071, Validation Loss: 0.0051
Epoch 21, Training Loss: 0.0067, Validation Loss: 0.0058
Epoch 22, Training Loss: 0.0064, Validation Loss: 0.0046
Epoch 23, Training Loss: 0.0062, Validation Loss: 0.0068
Epoch 24, Training Loss: 0.0063, Validation Loss: 0.0049
Epoch 25, Training Loss: 0.0067, Validation Loss: 0.0048
Epoch 26, Training Loss: 0.0065, Validation Loss: 0.0081
Epoch 27, Training Loss: 0.0063, Validation Loss: 0.0054
Epoch 28, Training Loss: 0.0059, Validation Loss: 0.0070
Epoch 29, Training Loss: 0.0063, Validation Loss: 0.0044
Epoch 30, Training Loss: 0.0070, Validation Loss: 0.0050
Epoch 31, Training Loss: 0.0075, Validation Loss: 0.0096
Epoch 32, Training Loss: 0.0066, Validation Loss: 0.0079
Epoch 33, Training Loss: 0.0060, Validation Loss: 0.0043
Epoch 34, Training Loss: 0.0063, Validation Loss: 0.0044
Epoch 35, Training Loss: 0.0067, Validation Loss: 0.0071
Epoch 36, Training Loss: 0.0059, Validation Loss: 0.0053
Epoch 37, Training Loss: 0.0061, Validation Loss: 0.0045
Epoch 38, Training Loss: 0.0068, Validation Loss: 0.0056
Epoch 39, Training Loss: 0.0062, Validation Loss: 0.0047
Epoch 40, Training Loss: 0.0063, Validation Loss: 0.0051
Epoch 41, Training Loss: 0.0071, Validation Loss: 0.0086
Epoch 42, Training Loss: 0.0080, Validation Loss: 0.0124
Epoch 43, Training Loss: 0.0069, Validation Loss: 0.0043
Epoch 44, Training Loss: 0.0075, Validation Loss: 0.0050
Epoch 45, Training Loss: 0.0065, Validation Loss: 0.0054
Epoch 46, Training Loss: 0.0064, Validation Loss: 0.0125
Epoch 47, Training Loss: 0.0081, Validation Loss: 0.0045
Epoch 48, Training Loss: 0.0060, Validation Loss: 0.0068
Epoch 49, Training Loss: 0.0068, Validation Loss: 0.0084
Epoch 50, Training Loss: 0.0080, Validation Loss: 0.0061
Epoch 51, Training Loss: 0.0102, Validation Loss: 0.0306
Epoch 52, Training Loss: 0.0270, Validation Loss: 0.0173
Epoch 53, Training Loss: 0.0272, Validation Loss: 0.0175
Epoch 54, Training Loss: 0.0151, Validation Loss: 0.0105
Epoch 55, Training Loss: 0.0117, Validation Loss: 0.0088
Epoch 56, Training Loss: 0.0122, Validation Loss: 0.0140
Epoch 57, Training Loss: 0.0103, Validation Loss: 0.0106
Epoch 58, Training Loss: 0.0080, Validation Loss: 0.0066
Epoch 59, Training Loss: 0.0064, Validation Loss: 0.0073
Epoch 60, Training Loss: 0.0063, Validation Loss: 0.0080
Epoch 61, Training Loss: 0.0068, Validation Loss: 0.0077
Epoch 62, Training Loss: 0.0066, Validation Loss: 0.0056
Epoch 63, Training Loss: 0.0073, Validation Loss: 0.0049
Epoch 64, Training Loss: 0.0073, Validation Loss: 0.0110
Epoch 65, Training Loss: 0.0063, Validation Loss: 0.0043
Epoch 66, Training Loss: 0.0061, Validation Loss: 0.0058
Epoch 67, Training Loss: 0.0064, Validation Loss: 0.0077
Epoch 68, Training Loss: 0.0061, Validation Loss: 0.0047
Epoch 69, Training Loss: 0.0068, Validation Loss: 0.0045
Epoch 70, Training Loss: 0.0071, Validation Loss: 0.0058
Epoch 71, Training Loss: 0.0064, Validation Loss: 0.0081
Epoch 72, Training Loss: 0.0061, Validation Loss: 0.0042
Epoch 73, Training Loss: 0.0063, Validation Loss: 0.0058
Epoch 74, Training Loss: 0.0058, Validation Loss: 0.0048
Epoch 75, Training Loss: 0.0060, Validation Loss: 0.0043
Epoch 76, Training Loss: 0.0060, Validation Loss: 0.0063
Epoch 77, Training Loss: 0.0061, Validation Loss: 0.0095
Epoch 78, Training Loss: 0.0072, Validation Loss: 0.0047
Epoch 79, Training Loss: 0.0068, Validation Loss: 0.0046
Epoch 80, Training Loss: 0.0069, Validation Loss: 0.0054
Epoch 81, Training Loss: 0.0064, Validation Loss: 0.0091
Epoch 82, Training Loss: 0.0066, Validation Loss: 0.0053
Epoch 83, Training Loss: 0.0063, Validation Loss: 0.0043
Epoch 84, Training Loss: 0.0062, Validation Loss: 0.0053
Epoch 85, Training Loss: 0.0059, Validation Loss: 0.0101
Epoch 86, Training Loss: 0.0069, Validation Loss: 0.0046
Epoch 87, Training Loss: 0.0063, Validation Loss: 0.0043
Epoch 88, Training Loss: 0.0072, Validation Loss: 0.0131
